region,inund_factor,chla_5,chla_95,chla_mean,wt_5,wt_95,wt_mean,Q_5,Q_95,Q_mean,n
downstream,none,0.9,6.2,2.6,7.8,16.9,11.9,5250,47975,18291,226
downstream,short,0.9,6.9,3,8.7,13.9,11,37330,155800,79471,24
downstream,long,2.4,9.1,5,10.2,14.3,12.2,62200,221600,100171,28
upstream,none,1.4,6.3,3.6,7.7,17.4,11.9,6756,42630,18358,114
upstream,short,1.3,4.1,2.2,8.6,13.1,10.4,35100,66660,55535,17
upstream,long,1,4.4,2.7,9.4,13,11.6,50000,70620,58062,13
yolo,none,2.4,30,12.3,7.3,19.6,12.9,86,2867,635,176
yolo,short,1.1,34,7.8,8.7,17,11.6,3209,135474,32444,30
yolo,long,0.8,36,9.5,9.3,17.2,13.2,6204,210594,41519,31
