"","latitude","longitude"
"1",38.0845,-121.7391
"2",38.0747,-121.7697
"3",38.0723,-121.773
"4",38.1067,-121.7163
"5",38.0688,-121.7815
"6",38.0602,-121.7939
"7",38.0633,-121.7937
"8",38.0977,-121.7282
"9",38.0995,-121.728
"10",38.0618,-121.7985
"11",38.0727,-121.767
"12",38.106,-121.717
"13",38.1032,-121.7232
"14",38.0655,-121.7868
"15",38.0662,-121.7855
"16",38.0763,-121.7675
"17",38.0922,-121.7357
"18",38.0933,-121.7368
"19",38.0913,-121.7393
"20",38.0825,-121.7535
"21",38.0972,-121.7293
"22",38.0995,-121.7293
"23",38.0972,-121.7318
"24",38.1197,-121.7018
"25",38.1168,-121.7037
"26",38.0985,-121.7302
"27",38.061,-121.7992
"28",38.071,-121.7775
"29",38.1002,-121.7257
"30",38.0942,-121.7357
"31",38.1257,-121.6968
"32",38.088,-121.7432
"33",38.0783,-121.7633
"34",38.1017,-121.7225
"35",38.0668,-121.7902
"36",38.0678,-121.7833
"37",38.0669,-121.7842
"38",38.0752,-121.769
"39",38.1179,-121.7027
"40",38.0659,-121.7794
"41",38.0643,-121.7913
"42",38.0688,-121.7802
"43",38.0807,-121.7607
"44",38.0998,-121.7283
"45",38.1192,-121.7017
"46",38.119,-121.702
"47",38.1397,-121.6908
"48",38.1068,-121.7173
"49",38.0604,-121.7998
"50",38.1125,-121.7081
"51",38.1012,-121.726
"52",38.1082,-121.7164
"53",38.1231,-121.6987
"54",38.1341,-121.6943
"55",38.1311,-121.6951
"56",38.1185,-121.701
"57",38.1223,-121.6996
"58",38.1159,-121.706
"59",38.1407,-121.6911
"60",38.1123,-121.7091
"61",38.1642,-121.679
"62",38.1412,-121.6912
"63",38.1387,-121.6924
"64",38.1607,-121.683
"65",38.1381,-121.6937
"66",38.0751,-121.7695
"67",38.0642,-121.7923
"68",38.0655,-121.7891
"69",38.0608,-121.7982
"70",38.1279,-121.6965
"71",38.1045,-121.7206
"72",38.0913,-121.7384
"73",38.0803,-121.76
"74",38.082,-121.7557
"75",38.0855,-121.7489
"76",38.0705,-121.7786
"77",38.0662,-121.7871
"78",38.067,-121.7816
"79",38.0864,-121.7468
"80",38.1006,-121.726917
"81",38.1574,-121.6852
"82",38.0971,-121.7398
"83",38.0721,-121.7759
"84",38.08959,-121.73796
