"","station","station_name","datemin","datemax"
"1","CCS","CACHE SLOUGH",1999-02-24,2015-01-01
"2","DLC","DELTA CROSS CHANNEL BTW SAC R & SNODGRAS",2009-12-02,2019-12-30
"3","DWS","SACRAMENTO DEEP WATER SHIPPING CHANNEL",2011-01-15,2019-12-30
"4","EMM","EMMATON (USBR)",1999-02-24,2019-12-30
"5","FPT","SACRAMENTO RIVER AT FREEPORT",2009-12-05,2018-11-27
"6","GES","SACRAMENTO RIVER BELOW GEORGIANA SLOUGH",2009-12-04,2019-12-30
"7","GLN","GREEN'S LANDING",1998-10-09,2003-10-02
"8","GSS","GEORGIANA SLOUGH AT SACRAMENTO RIVER",2009-12-04,2019-12-30
"9","HWB","MINER SLOUGH AT HWY 84 BRIDGE",2009-12-01,2019-12-30
"10","LIB","LIBERTY ISLAND @ APPROX CNTR S END",2010-12-21,2019-12-29
"11","LIS","YOLO BYPASS AT LISBON",2008-07-18,2019-12-30
"12","MIR","MINER SLOUGH NEAR SACRAMENTO RIVER",2015-06-16,2019-12-30
"13","RIV","RIO VISTA",1999-02-24,2019-12-30
"14","RVB","SACRAMENTO RIVER AT RIO VISTA BRIDGE",2007-06-01,2019-12-30
"15","RYI","CACHE SLOUGH AT RYER ISLAND",2009-12-04,2017-03-22
"16","SDI","SACRAMENTO RIVER AT DECKER ISLAND",2010-01-21,2019-12-30
"17","SOI","SACRAMENTO R DOWNSTREAM OF ISLETON",2015-06-17,2019-12-30
"18","SRH","SACRAMENTO RIVER AT HOOD",1998-12-23,2019-12-30
"19","SRV","SACRAMENTO RIVER AT RIO VISTA (USGS)",2009-12-05,2019-12-30
"20","SSI","SACRAMENTO R NR SHERMAN ISLAND",2015-07-30,2019-12-30
"21","SSS","STEAMBOAT SLOUGH BTW SAC R AND SUTTER SL",2014-05-23,2016-05-04
"22","SUS","STEAMBOAT SLOUGH BLW SUTTER SLOUGH",2015-06-11,2019-12-30
"23","SUT","SUTTER SLOUGH AT COURTLAND",2014-05-23,2016-05-04
"24","SWE","SACRAMENTO R AT WALNUT GROVE EC",2015-08-20,2019-12-30
"25","SXS","STEAMBOAT SLOUGH NR SACRAMENTO R",2015-06-16,2019-12-30
"26","TMS","THREE MILE SLOUGH",2006-04-14,2019-12-30
"27","TSL","THREEMILE SLOUGH AT SAN JOAQUIN RIVER",2008-06-17,2019-12-30
